Date,Open,High,Low,Close,Volume,Market Cap
"Mar 01, 2018",0.189408,0.193251,0.077743,0.172222,20043,765161
"Feb 28, 2018",0.222637,0.227377,0.188974,0.189126,14314,875986
"Feb 27, 2018",0.224221,0.253886,0.213332,0.222869,11063,858683
"Feb 26, 2018",0.223480,0.320720,0.209677,0.223619,17207,832300
"Feb 25, 2018",0.248868,0.256308,0.219253,0.223298,12022,900689
"Feb 24, 2018",0.321683,0.350614,0.245559,0.260234,18040,1130400
"Feb 23, 2018",0.239944,0.349872,0.224832,0.319256,23871,817925
"Feb 22, 2018",0.276537,0.325691,0.222895,0.240231,17737,913440
"Feb 21, 2018",0.228756,0.326611,0.213190,0.308852,26210,731532
"Feb 20, 2018",0.243994,0.265187,0.225378,0.239359,25881,754586
"Feb 19, 2018",0.241177,0.272783,0.240953,0.244792,22504,720485
"Feb 18, 2018",0.380927,0.390283,0.241781,0.242270,35222,1097930
"Feb 17, 2018",0.579628,0.579628,0.372778,0.380104,31086,1609120
"Feb 16, 2018",0.405059,0.659389,0.389509,0.579678,53048,1081400
"Feb 15, 2018",0.190214,0.458940,0.185015,0.406705,28132,487843
"Feb 14, 2018",0.181017,0.204256,0.177546,0.189925,8406,445203
"Feb 13, 2018",0.196641,0.213766,0.163212,0.177733,6750,463008
"Feb 12, 2018",0.247540,0.253064,0.129159,0.194974,13478,556599
"Feb 11, 2018",0.280018,0.301730,0.223360,0.245940,11743,600104
"Feb 10, 2018",0.317242,0.333693,0.251247,0.280307,13354,646446
"Feb 09, 2018",0.270255,0.335150,0.244092,0.309545,19854,522340
"Feb 08, 2018",0.325036,0.363920,0.242930,0.269604,17014,594047
"Feb 07, 2018",0.354847,0.438063,0.287219,0.339471,19044,610925
"Feb 06, 2018",0.257610,0.391788,0.186687,0.362498,24450,416301
"Feb 05, 2018",0.516128,0.551770,0.235578,0.257064,21032,780090
"Feb 04, 2018",0.543627,0.619732,0.430211,0.518772,36170,738551
"Feb 03, 2018",0.919475,0.962632,0.511282,0.528197,52383,1196370
"Feb 02, 2018",1.220000,1.260000,0.818248,0.914675,43926,1457650
"Feb 01, 2018",1.400000,1.820000,1.140000,1.220000,87353,1530600